Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,485.282013,505.754517,482.562195,502.503632,502.503632,1168391225
2021-10-01,502.852081,544.814026,501.220398,543.302734,543.302734,1204656913
2021-10-02,543.639587,560.009949,537.212646,552.628357,552.628357,1052899621
2021-10-03,552.532898,578.456360,545.622070,570.499329,570.499329,1336434935
2021-10-04,571.042603,571.042603,534.056091,551.597046,551.597046,1278357308
2021-10-05,551.022949,599.604492,549.753174,594.042542,594.042542,1197469914
2021-10-06,594.712524,624.793518,563.388916,618.740845,618.740845,1778433548
2021-10-07,617.445618,634.218018,599.416931,612.156738,612.156738,1512650547
2021-10-08,611.393188,617.011658,590.099976,595.772644,595.772644,1241653777
2021-10-09,595.988342,623.489014,592.917114,614.483459,614.483459,1160530389
2021-10-10,614.894470,622.333740,584.305786,586.642639,586.642639,1215424338
2021-10-11,586.133911,617.575867,581.106628,601.811157,601.811157,1285140009
2021-10-12,602.100464,602.100464,569.359436,587.449463,587.449463,1295493392
2021-10-13,587.737610,594.508484,572.585144,594.508484,594.508484,1224286953
2021-10-14,593.701538,607.258118,591.844666,597.616821,597.616821,1128243790
2021-10-15,598.719910,636.523682,586.292358,624.503845,624.503845,1754209051
2021-10-16,625.414612,646.348877,624.502380,626.320496,626.320496,1345916541
2021-10-17,625.262817,628.550903,593.074585,611.691528,611.691528,1101439670
2021-10-18,612.854492,619.486755,600.285034,611.165833,611.165833,1179982882
2021-10-19,611.521790,624.527649,601.872986,619.084900,619.084900,1180856013
2021-10-20,618.877136,648.310425,606.315796,644.396057,644.396057,1138643163
2021-10-21,644.688416,655.623352,621.743713,623.740540,623.740540,1408405297
2021-10-22,623.472046,636.942566,613.955261,623.593079,623.593079,1042106876
2021-10-23,623.600586,636.745300,616.658630,629.455383,629.455383,1064456581
2021-10-24,629.594360,633.155334,606.613770,617.856750,617.856750,1008042453
2021-10-25,617.665649,628.917175,615.483398,621.694336,621.694336,1140962239
2021-10-26,621.535217,631.391968,602.403198,611.638489,611.638489,1319150850
2021-10-27,611.921631,618.871765,542.354126,549.094360,549.094360,1579662843
2021-10-28,549.145081,591.328369,545.942993,579.468872,579.468872,1361300962
2021-10-29,579.074341,595.694092,575.574341,593.519287,593.519287,1238115116
2021-10-30,593.871277,599.813538,578.387451,584.846375,584.846375,1454401650
2021-10-31,584.879333,601.966980,575.400024,596.238647,596.238647,1330055653
2021-11-01,596.664917,599.212646,580.092834,587.672852,587.672852,1208247148
2021-11-02,587.283813,608.020874,583.546204,598.341370,598.341370,1047259623
2021-11-03,598.709534,618.858765,592.365906,611.106323,611.106323,1450315021
2021-11-04,null,null,null,null,null,null
